author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28
"Gonzalez-Agulla, E","Argones-Rua, E","Garcia-Mateo, C","Marquez-Florez, OW",,,,,,,,,,,,,,,,,,,,,,,,
"Grew, P","Longhi, I","De Cindio, F","Ripamonti, LA",,,,,,,,,,,,,,,,,,,,,,,,
"Kaiser, Lisa M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kambourakis, G","Kontoni, DPN","Sapounas, I",,,,,,,,,,,,,,,,,,,,,,,,,
"Kosinov, S","Marchand-Maillet, S",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lam, P","McNaught, C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shyu, FM","Liang, YF","Hsu, WTA","Luh, JJ","Chen, HS",,,,,,,,,,,,,,,,,,,,,,,
"St Hill, Halcyon","Edwards, Nancy",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuseirat, AMAF","Abu-Zitar, R",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ludlow, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stausberg, Juergen","Bilir, Hueseyin","Waydhas, Christian","Ruchholtz, Steffen",,,,,,,,,,,,,,,,,,,,,,,,
"Kuo, CH","David, WD","Chen, MC","Sung, LC","Chio, CL",,,,,,,,,,,,,,,,,,,,,,,
"Brusilovsky, P",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hausmanns, C","Zerry, R","Goers, B","Urbas, L","Gauss, B","Wozny, G",,,,,,,,,,,,,,,,,,,,,,
"Hotho, A","Staab, S","Stumme, G",,,,,,,,,,,,,,,,,,,,,,,,,
"Lu, HG",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oh, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redondo, MA","Bravo, C","Bravo, J","Ortega, M",,,,,,,,,,,,,,,,,,,,,,,,
"Prather, EE","Slater, TF",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgkinson, M","Holland, J",,,,,,,,,,,,,,,,,,,,,,,,,,
"Barker, P",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Payne, GF","Bradbury, D",,,,,,,,,,,,,,,,,,,,,,,,,,
"Naumov, L B",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fehrenbach, M J","Baker-Eveleth, L","Bell, N",,,,,,,,,,,,,,,,,,,,,,,,,
"Polhamus, B","Farel, A","Trester, A",,,,,,,,,,,,,,,,,,,,,,,,,
"Short, N",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liber, O","Olivier, B","Britain, S",,,,,,,,,,,,,,,,,,,,,,,,,
"Persico, D","Manca, S",,,,,,,,,,,,,,,,,,,,,,,,,,
"Frisby, A J","Jones, S S",,,,,,,,,,,,,,,,,,,,,,,,,,
"Geer, IW","Moran, JM","Smith, DR","Weinbeck, RS",,,,,,,,,,,,,,,,,,,,,,,,
"Dubanoski, JP","Goodman, RJ","Braun, KL","Roberts, E","Lenzer, AM",,,,,,,,,,,,,,,,,,,,,,,
"Bernard, Robert M","Borokhovski, Eugene","Schmid, Richard F","Tamim, Rana M","Abrami, Philip C",,,,,,,,,,,,,,,,,,,,,,,
"Esteban-Millat, Irene","Martinez-Lopez, Francisco J","Huertas-Garcia, Ruben","Meseguer, Antoni","Rodriguez-Ardura, Inma",,,,,,,,,,,,,,,,,,,,,,,
"Yeh, Yu-Ting","Chen, Hsiang-Yin","Cheng, Kuei-Ju","Hou, Ssu-An","Yen, Yu-Hsuan","Liu, Chien-Tsai",,,,,,,,,,,,,,,,,,,,,,
"Xu, Di","Jaggars, Shanna Smith",,,,,,,,,,,,,,,,,,,,,,,,,,
"Vincent, Heather M","Page, Christopher",,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis, N","Eickelmann, B","Zaka, P",,,,,,,,,,,,,,,,,,,,,,,,,
"Caron, Rosemary M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kowalczyk, Nina","Copley, Stacey",,,,,,,,,,,,,,,,,,,,,,,,,,
"Albrecht, Urs-Vito","Folta-Schoofs, Kristian","Behrends, Marianne","von Jan, Ute",,,,,,,,,,,,,,,,,,,,,,,,
"Biedermann, A","Hicks, T","Voisard, R","Taroni, F","Champod, C","Aitken, C G G","Evett, I W",,,,,,,,,,,,,,,,,,,,,
"Kobak, Kenneth A","Craske, Michelle G","Rose, Raphael D","Wolitsky-Taylor, Kate",,,,,,,,,,,,,,,,,,,,,,,,
"Kossioni, A E","Kavadella, A","Tzoutzas, I","Bakas, A","Tsiklakis, K","Bailey, S","Bullock, A","Cowpe, J","Barnes, E","Thomas, H","Thomas, R","Karaharju-Suvanto, T","Suomalainen, K","Kersten, H","Povel, E","Giles, M","Walmsley, D","Soboleva, U","Liepa, A","Akota, I",,,,,,,,
"Patterson, Heather E","Nunez, Margarita","Philotheou, Geraldine M","Hutton, Brian F",,,,,,,,,,,,,,,,,,,,,,,,
"Matava, Clyde T","Rosen, Derek","Siu, Eric","Bould, Dylan M",,,,,,,,,,,,,,,,,,,,,,,,
"Ballew, Paula","Castro, Sarah","Claus, Julie","Kittur, Nupur","Brennan, Laura","Brownson, Ross C",,,,,,,,,,,,,,,,,,,,,,
"Roby, Teshia","Ashe, Susan","Singh, Neha","Clark, Curtis",,,,,,,,,,,,,,,,,,,,,,,,
"Wu, Ejean","Lin, Wen-Chuan","Yang, Shu Ching",,,,,,,,,,,,,,,,,,,,,,,,,
"Ealy, Julie B",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Jayne","Rafi, Imran","Smith, Helen","Sheikh, Aziz",,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Albert W M","Ng, Joseph K Y","Wong, Eva Y W","Tan, Alfred","Lau, April K Y","Lai, Stephen F Y",,,,,,,,,,,,,,,,,,,,,,
"Pulsford, David","Jackson, Georgina","OBrien, Terri","Yates, Sue","Duxbury, Joy",,,,,,,,,,,,,,,,,,,,,,,
"Xie, Kui",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Youngsung","Toh, Kar-Ann","Teoh, Andrew Beng Jin","Eng, How-Lung","Yau, Wei-Yun",,,,,,,,,,,,,,,,,,,,,,,
"Faraone, K L","Garrett, P H","Romberg, E",,,,,,,,,,,,,,,,,,,,,,,,,
"Jiang, Yu-Gang","Wang, Jun","Xue, Xiangyang","Chang, Shih-Fu",,,,,,,,,,,,,,,,,,,,,,,,
"Schoenwetter, D","Reynolds, P",,,,,,,,,,,,,,,,,,,,,,,,,,
"Batalla-Busquets, Josep-Maria","Pacheco-Bernal, Carmen",,,,,,,,,,,,,,,,,,,,,,,,,,
"Boeder, Niklas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lu, Junjie","Young, Steven","Arel, Itamar","Holleman, Jeremy",,,,,,,,,,,,,,,,,,,,,,,,
"Rankin, James A","Then, Karen L","Atack, Lynda",,,,,,,,,,,,,,,,,,,,,,,,,
"Satar, H Muge",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westberry, Nicola","Franken, Margaret",,,,,,,,,,,,,,,,,,,,,,,,,,
"Belviranli, M","Atalik, K E N","Okudan, N","Gokbel, H",,,,,,,,,,,,,,,,,,,,,,,,
"Cho, Moon-Heum",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korkmaz, Ozgen",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edirippulige, Sisira","Smith, Anthony C","Armfield, Nigel R","Bensink, Mark","Wootton, Richard",,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Brenda","Dillon, Cynthia A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeman, Wendy","Brett, Clare",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pearsall, Catherine","Hodson-Carlton, Kay","Flowers, James C",,,,,,,,,,,,,,,,,,,,,,,,,
"Wu, Sheng-Yi","Hou, Huei-Tse","Hwang, Wu-Yuin",,,,,,,,,,,,,,,,,,,,,,,,,
"Mahnic-Kalamiza, Samo","Kotnik, Tadej","Miklavcic, Damijan",,,,,,,,,,,,,,,,,,,,,,,,,
"Stone, Alexandra G","Treadwell, Danielle D","Formiga, Alice K","McQueen, John P G","Wander, Michelle M","Riddle, James","Darby, Heather M","Heleba, Debra",,,,,,,,,,,,,,,,,,,,
"Liu, Chien-Jen","Yang, Shu Ching",,,,,,,,,,,,,,,,,,,,,,,,,,
"Meacham, Lillian R","Edwards, Paula J","Cherven, Brooke O","Palgon, Michael","Espinoza, Sofia","Hassen-Schilling, Leann","Mertens, Ann C",,,,,,,,,,,,,,,,,,,,,
"Sung, Eunmo","Mayer, Richard E",,,,,,,,,,,,,,,,,,,,,,,,,,
"Xie, Shan Juan","Yang, JuCheng","Gong, Hui","Yoon, Sook","Park, Dong Sun",,,,,,,,,,,,,,,,,,,,,,,
"Erguzen, Atilla","Erel, Serafettin","Uzun, Ibrahim","Bilge, Hasan Sakir","Unver, Halil Murat",,,,,,,,,,,,,,,,,,,,,,,
"Gormley, Denise K","Colella, Christine","Shell, Dustin L",,,,,,,,,,,,,,,,,,,,,,,,,
"Jawaid, Masood","Ashraf, Junaid",,,,,,,,,,,,,,,,,,,,,,,,,,
"Place, Jessica","MacLeod, Martha","John, Norma","Adamack, Monica","Lindsey, A Elizabeth",,,,,,,,,,,,,,,,,,,,,,,
"Seixas, Carlos Alberto","Mendes, Isabel Amelia Costa","de Godoy, Simone","Mazzo, Alessandra","Trevizan, Maria Auxiliadora","Martins, Jose Carlos Amado",,,,,,,,,,,,,,,,,,,,,,
"Syed-Abdul, Shabbir","Scholl, Jeremiah","Chen, Chiehfeng Cliff","Santos, Martinho D P S","Jian, Wen-Shan","Liou, Der-Ming","Li, Yu-Chuan",,,,,,,,,,,,,,,,,,,,,
"Holtslander, Lorraine F","Racine, Louise","Furniss, Shari","Burles, Meridith","Turner, Hollie",,,,,,,,,,,,,,,,,,,,,,,
"Stephens, Philip J",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tsapanos, Nikolaos","Tefas, Anastasios","Nikolaidis, Nikolaos","Pitas, Ioannis",,,,,,,,,,,,,,,,,,,,,,,,
"Wei, Chun-Wang","Chen, Nian-Shing",Kinshuk,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilson, Sandra B","Flory, Luke",,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnett, Brittany","Corkum, Penny","Elik, Nezihe",,,,,,,,,,,,,,,,,,,,,,,,,
"Ros, Salvador","Robles-Gomez, Antonio","Hernandez, Roberto","Caminero, Agustin C","Pastor, Rafael",,,,,,,,,,,,,,,,,,,,,,,
"Williams, P John",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erguzen, Atilla","Basal, Ahmet","Erel, Serafettin",,,,,,,,,,,,,,,,,,,,,,,,,
"Jang, Jina","Dixon, Dennis R","Tarbox, Jonathan","Granpeesheh, Doreen","Kornack, Julie","de Nocker, Yanicka",,,,,,,,,,,,,,,,,,,,,,
"McLawhon, Ryan","Cutright, Marc",,,,,,,,,,,,,,,,,,,,,,,,,,
"McNaught, Carmel","Lam, Paul","Cheng, Kin Fai",,,,,,,,,,,,,,,,,,,,,,,,,
"Jara, Carlos A","Candelas, Francisco A","Torres, Fernando","Dormido, Sebastian","Esquembre, Francisco",,,,,,,,,,,,,,,,,,,,,,,
"Sung, Eunmo","Mayer, Richard E",,,,,,,,,,,,,,,,,,,,,,,,,,
"Spiva, LeeAnna","Johnson, Kimberly","Robertson, Bethany","Barrett, Darcy T","Jarrell, Nicole M","Hunter, Donna","Mendoza, Inocencia",,,,,,,,,,,,,,,,,,,,,
"Albeanu, Grigore","Popentiu-Vladicescu, Florin",,,,,,,,,,,,,,,,,,,,,,,,,,
"Anohina-Naumeca, Alla","Sitikovs, Vjaceslavs",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bamdadian, Atieh","Guan, Cuntai","Ang, Kai Keng","Xu, Jianxin",,,,,,,,,,,,,,,,,,,,,,,,
"Comas-Quinn, Anna","de los Arcos, Beatriz","Mardomingo, Raquel",,,,,,,,,,,,,,,,,,,,,,,,,
"Culley, Joan M","Polyakova-Norwood, Vera",,,,,,,,,,,,,,,,,,,,,,,,,,
"Daum, David Newman","Buschner, Craig",,,,,,,,,,,,,,,,,,,,,,,,,,
"Deorari, Ashok","Thukral, Anu","Aruna, V",,,,,,,,,,,,,,,,,,,,,,,,,
"Dias, Sofia B","Diniz, Jose A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Eneau, Jerome","Develotte, Christine",,,,,,,,,,,,,,,,,,,,,,,,,,
"Foulonneau, Muriel",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilmore, Melanie","Lyons, Evadna M",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hinojo, Maria Angustias","Fernandez, Andres",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kapenieks, Atis","Zuga, Bruno","Stale, Ginta","Jirgensons, Merija",,,,,,,,,,,,,,,,,,,,,,,,
"Ko, Chao-Jung",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Chelo de Andres",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mazzoleni, M Cristina","Maugeri, Chiara","Rognoni, Carla","Cantoni, Alessio","Imbriani, Marcello",,,,,,,,,,,,,,,,,,,,,,,
"Mon, Lorri M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mundkur, Anuradha","Ellickson, Cara",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ngom, Babacar","Guillermet, Herve","Niang, Ibrahima",,,,,,,,,,,,,,,,,,,,,,,,,
"Persico, Donatella","Manca, Stefania","Pozzi, Francesca",,,,,,,,,,,,,,,,,,,,,,,,,
"Queiroz, Fernanda Mateus","da Costa Aroldi, Juscilynne Barros","Schunck de Oliveira, Gisele Deneluz","Ciqueto Peres, Heloisa Helena","Conceicao de Gouveia Santos, Vera Lucia",,,,,,,,,,,,,,,,,,,,,,,
"Shackelford, Jo L","Maxwell, Marge",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharif, Nauman","Afzal, Muhammad Tanvir","Helic, Denis",,,,,,,,,,,,,,,,,,,,,,,,,
"Simuth, Jozef","Sarmany-Schuller, Ivan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Singh, Vandana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wright, Clayton R","Reju, Sunday A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Xu-Yao","Liu, Cheng-Lin",,,,,,,,,,,,,,,,,,,,,,,,,,
"Baillie, Sarah","Kinnison, Tierney","Forrest, Neil","Dale, Vicki N M","Ehlers, Jan P","Koch, Michael","Mandoki, Mira","Ciobotaru, Emilia","de Groot, Esther","Boerboom, Tobias B B","van Beukelen, Peter",,,,,,,,,,,,,,,,,
"Demers, Anne L","Mamary, Edward","Ebin, Vicki J",,,,,,,,,,,,,,,,,,,,,,,,,
"Grabowski, Barbara L",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, JaMee","Lee, WonGyu",,,,,,,,,,,,,,,,,,,,,,,,,,
"Desai, Tejas","Christiano, Cynthia","Ferris, Maria",,,,,,,,,,,,,,,,,,,,,,,,,
"Dale, V H M","Kinnison, T","Short, N","May, S A","Baillie, S",,,,,,,,,,,,,,,,,,,,,,,
"Kellogg, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aydin, Serkan","Kaptan, Hakan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Pippa","Weaver, Lynda","Willett, Timothy G",,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Hua","Sun, Zonghai",,,,,,,,,,,,,,,,,,,,,,,,,,
"ORourke, Susan L","Martin, Marie",,,,,,,,,,,,,,,,,,,,,,,,,,
"Robinson, T","Hills, D","Kelly, B",,,,,,,,,,,,,,,,,,,,,,,,,
"Wood, Kathryn A","Moskovitz, Cary","Valiga, Theresa M",,,,,,,,,,,,,,,,,,,,,,,,,
"Gallagher-Lepak, Susan","Block, Derryl","Urbina Rojas, Yrene Esperanza","Birkholz, Lorri","Melgar Moran, Carlos Christian",,,,,,,,,,,,,,,,,,,,,,,
"Shinoda, Yukio","Tanaka, Hideo","Akisawa, Atsushi","Kashiwagi, Takao",,,,,,,,,,,,,,,,,,,,,,,,
"Tomenko, Vladimir",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Ching-Hsue","Wei, Liang-Ying","Chen, Yao-Hsien",,,,,,,,,,,,,,,,,,,,,,,,,
"Bauske, Ellen M","Kelly, Lelia","Smith, Kerry","Bradley, Lucy","Davis, Timothy","Bennett, Pam",,,,,,,,,,,,,,,,,,,,,,
"Chou, Chun-Mei",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wagstaff, John",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Locatis, Craig","Berner, Eta S","Hammack, Glenn","Smith, Steve","Maisiak, Richard","Ackerman, Michael",,,,,,,,,,,,,,,,,,,,,,
"Chen, C H","Lin, H C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Espinoza, Manuel","Cabieses, Baltica","Pedreros, Cesar","Zitko, Pedro",,,,,,,,,,,,,,,,,,,,,,,,
"Fidalgo, Antonio","Canavilhas, Joao",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ku, H","Goh, S","Ahfock, A",,,,,,,,,,,,,,,,,,,,,,,,,
"Mayne, Linda A","Wu, Qiang",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ritchie, Ann",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreatos, Antonios",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assareh, A","Bidokht, M Hosseini",,,,,,,,,,,,,,,,,,,,,,,,,,
"Britain, Sandy",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conti, Alessio","Sterbini, Andrea","Temperini, Marco",,,,,,,,,,,,,,,,,,,,,,,,,
"Dlouha, Jana","Zahradnik, Martin","Dlouhy, Jiri","Barton, Andrew",,,,,,,,,,,,,,,,,,,,,,,,
"Houska, Milan","Berankova, Martina",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kazancoglu, Yigit","Aksoy, Murat",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ko, Leong","Chen, Nian-Shing",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mylonakis, Manolis","Arapi, Polyxeni","Pappas, Nikos","Moumoutzis, Nektarios","Christodoulakis, Stavros",,,,,,,,,,,,,,,,,,,,,,,
"Nazari, Maryam","Webber, Sheila",,,,,,,,,,,,,,,,,,,,,,,,,,
"Newbury, Paul","Watten, Phil","Holroyd, Patrick","Hardman, Clare",,,,,,,,,,,,,,,,,,,,,,,,
"Oroja, Shola G","Kotoua, Selira","Ilkan, Mustafa",,,,,,,,,,,,,,,,,,,,,,,,,
"Power, Michael","Gould-Morven, Anthony",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rampun, Andrik","Barker, Trevor",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rennie, Frank","Johannesdottir, Sigurbjorg","Kristinsdottir, Stefania",,,,,,,,,,,,,,,,,,,,,,,,,
"Rodrigues, Manuel","Fdez-Riverola, Florentino","Novais, Paulo",,,,,,,,,,,,,,,,,,,,,,,,,
"Sanders, Gregory F",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sokolova, Marcela",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sokolova, Marcela",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Minjuan","Lawless-Reljic, Sabine","Davies, Marc","Callaghan, Victor",,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Jennifer","Motycka, Carol","Onge, Erin St",,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Karen C","Morgan, Kari","Cameron, Bruce A",,,,,,,,,,,,,,,,,,,,,,,,,
"Yengin, Ilker","Karahoca, Adem","Karahoca, Dilek",,,,,,,,,,,,,,,,,,,,,,,,,
"Eskildsen, Manuel A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Oliver","Saunders, Helen","Mires, Gary",,,,,,,,,,,,,,,,,,,,,,,,,
"Santos, Alexandre Nogueira dos","Mercado, Luis Paulo Leopoldo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Vitale, Anne T",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander, Lorraine K","Horney, Jennifer A","Markiewicz, Milissa","MacDonald, Pia D M",,,,,,,,,,,,,,,,,,,,,,,,
"Bigony, Lorraine",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yu, Tai-Kuei","Yu, Tai-Yi",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ala-Mutka, Kirsti","Gaspar, Pal","Kismihok, Gabor","Suurna, Margit","Vehovar, Vasja",,,,,,,,,,,,,,,,,,,,,,,
"Halabisky, Brenda","Humbert, Jennie","Stodel, Emma J","MacDonald, Colla J","Chambers, Larry W","Doucette, Suzanne","Dalziel, William B","Conklin, James",,,,,,,,,,,,,,,,,,,,
"Hsiao, Chun-Feng","Chu, Chih-Ping",,,,,,,,,,,,,,,,,,,,,,,,,,
"Patricia Santacruz-Valencia, Liliana","Navarro, Antonio","Aedo, Ignacio","Delgado Kloos, Carlos",,,,,,,,,,,,,,,,,,,,,,,,
"Ramayah, T",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xhafa, Fatos","Barolli, Leonard","Caballe, Santi","Fernandez, Raul",,,,,,,,,,,,,,,,,,,,,,,,
"Bannier, Betsy J",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fleming, M Lynette","Easton, Janice",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hassani, Sona","Zhong, Wen-De",,,,,,,,,,,,,,,,,,,,,,,,,,
"Stewart, James F, II","Mallery, Coretta","Choi, Jaehwa",,,,,,,,,,,,,,,,,,,,,,,,,
"Gill, Peter","Kitney, Lauren","Kozan, Daniel","Lewis, Melanie",,,,,,,,,,,,,,,,,,,,,,,,
"Angel Conde, Miguel","Gomez Aguilar, Diego Alonso","Del Pozo de Dios, Alberto","Garcia Penalvo, Francisco Jose",,,,,,,,,,,,,,,,,,,,,,,,
"Arcangeli, Bianca","Bonu, Bruno","Charnet, Chantal","Diana, Paolo",,,,,,,,,,,,,,,,,,,,,,,,
"Ashman, Adrian",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bodnarova, Agata","Hatas, Martin","Olsevicova, Kamila","Sobeslav, Vladimir","Stefan, Jaroslav",,,,,,,,,,,,,,,,,,,,,,,
"Brandstaetter, Manuela","Leitner, Marie-Luise","Strauss, Christine",,,,,,,,,,,,,,,,,,,,,,,,,
"Cabukovski, Vanco",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cantoni, Lorenzo","Kalbaska, Nadzeya",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chao, Ining Tracy","Saj, Tami","Hamilton, Doug",,,,,,,,,,,,,,,,,,,,,,,,,
"Chhem, Rethy","Pascual, Thomas","Engel-Hills, Penelope","Rich, Sharon","Hibbert, Kathy",,,,,,,,,,,,,,,,,,,,,,,
"Chong, CheeKeong","Lee, CheeHeong","Go, YouHow","Lam, CheeHoong",,,,,,,,,,,,,,,,,,,,,,,,
"Cinar, Murat","Torenli, Nurcan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cunningham, Una","Fagersten, Kristy Beers","Holmsten, Elin",,,,,,,,,,,,,,,,,,,,,,,,,
"Gaffney, Conor","Dagger, Declan","Wade, Vincent",,,,,,,,,,,,,,,,,,,,,,,,,
"Greener, Sue",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guetl, Christian","Lankmayr, Klaus","Weinhofer, Joachim",,,,,,,,,,,,,,,,,,,,,,,,,
"Hamburg, Ileana","Marin, Mihnea",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jarke, Matthias","Jeusfeld, Manfred A","Nissen, Hans W","Quix, Christoph","Staudt, Martin",,,,,,,,,,,,,,,,,,,,,,,
"Jarolimek, Jan","Vanek, Jiri","Simek, Pavel",,,,,,,,,,,,,,,,,,,,,,,,,
"Laouris, Yiannis","Underwood, Gayle","Laouri, Romina","Christakis, Aleco",,,,,,,,,,,,,,,,,,,,,,,,
"Liaw, Siaw Teng","Gray, Kathleen",,,,,,,,,,,,,,,,,,,,,,,,,,
"Marfisi-Schottman, Iza","George, Sebastien","Tarpin-Bernard, Franck",,,,,,,,,,,,,,,,,,,,,,,,,
"Mariais, Christelle","Michau, Florence","Pernin, Jean-Philippe",,,,,,,,,,,,,,,,,,,,,,,,,
"Martins, Jorge Tiago","Nunes, Miguel Baptista",,,,,,,,,,,,,,,,,,,,,,,,,,
"McLinden, Mike","McCall, Steve","Hinton, Danielle","Weston, Annette",,,,,,,,,,,,,,,,,,,,,,,,
"Murugaiah, Puvaneswary","Thang, Siew Ming",,,,,,,,,,,,,,,,,,,,,,,,,,
"Novo, Maria","Murga-Menoyo, Maria-Angeles","Bautista-Cerro, Maria-Jose",,,,,,,,,,,,,,,,,,,,,,,,,
"Parrish, Patrick","Linder-VanBerschot, Jennifer A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pechanec, Vilem","Vavra, Ales","Vozenilek, Vit","Tolasz, Radim","Jilkova, Jirina","Nemcova, Zuzana","Seflova, Jitka","Holtanova, Eva","Vondrakova, Alena","Jurek, Martin",,,,,,,,,,,,,,,,,,
"Rao, Kavita","Giuli, Charles",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ried, L Douglas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Romero, Rosa","Zarraonandia, Telmo","Aedo, Ignacio","Diaz, Paloma",,,,,,,,,,,,,,,,,,,,,,,,
"Sava, Simona","Malita, Laura","Nuissl, Ekkehard",,,,,,,,,,,,,,,,,,,,,,,,,
"Shapiro, Angela","Johnston, Aidan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shraim, Khitam",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simonova, Ivana","Bilek, Martin",,,,,,,,,,,,,,,,,,,,,,,,,,
"Stoyanov, S","Valkanova, V","Ganchev, I","ODroma, M",,,,,,,,,,,,,,,,,,,,,,,,
"Tang, Yan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Villmann, Thomas","Haase, Sven","Schleif, Frank-Michael","Hammer, Barbara","Biehl, Michael",,,,,,,,,,,,,,,,,,,,,,,
"White, David","Le Cornu, Alison",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pandurangi, Anand K","Desai, Nimesh G",,,,,,,,,,,,,,,,,,,,,,,,,,
"da Costa, Juscilynne Barros","Ciqueto Peres, Heloisa Helena","Brunet Rogenski, Noemi Marisa","Caetano Baptista, Cleide Maria",,,,,,,,,,,,,,,,,,,,,,,,
"Kldiashvili, Ekaterina","Schrader, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cable, Maria","Parr, Margaret",,,,,,,,,,,,,,,,,,,,,,,,,,
"Forsyth, H","Laxton, R","Moran, C","van der werf, J","Banks, R","Taylor, R",,,,,,,,,,,,,,,,,,,,,,
"Linjawi, A L","Hamdan, A M","Perryer, D G","Walmsley, A D","Hill, K B",,,,,,,,,,,,,,,,,,,,,,,
"Aksal, Fahriye A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chu, Annie","Cui, Jenny","Dinov, Ivo D",,,,,,,,,,,,,,,,,,,,,,,,,
"Ketelsen, D","Talanow, R","Uder, M","Grunewald, M",,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Polly",,,,,,,,,,,,,,,,,,,,,,,,,,,
